SA3_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
10102,58,158,125,68,280,290,91,172,6,1252,44,124,88,66,227,295,61,139,210,1258,1664,3802,3203,2305,8092,8742,2617,4620,503,35548
10103,15,40,34,24,50,70,19,59,0,305,6,56,30,27,58,82,22,66,84,427,442,1507,1339,850,1926,1895,643,1791,185,10569
10104,48,195,141,101,238,245,49,127,8,1160,74,199,127,75,165,188,40,97,259,1233,1697,5500,4309,2821,5573,5112,1323,3153,670,30166
10105,26,85,83,56,153,160,36,93,7,688,31,73,35,32,119,124,29,73,143,663,875,2318,1932,1302,3696,3321,979,2547,349,17320
10106,21,88,79,56,139,128,37,74,5,634,34,83,41,34,117,132,27,79,147,688,853,2384,1926,1355,3294,3693,1146,2828,344,17820
10201,617,488,283,153,535,449,111,212,38,2884,236,425,320,171,504,579,123,279,505,3139,8177,13022,9515,5919,14884,15538,3868,7811,1149,79875
10202,699,416,252,139,562,466,140,200,42,2918,274,336,239,157,569,500,89,237,546,2947,8044,10800,8240,5428,14870,12665,3343,6318,1248,70958
10301,35,120,92,46,193,167,48,128,5,845,47,99,63,42,152,159,46,111,154,868,1074,3141,2582,1737,4963,4304,1461,3273,368,22900
10302,17,114,94,61,187,203,66,154,12,916,45,114,63,73,157,174,39,123,204,995,950,2970,2579,1843,3936,4270,1498,4757,504,23302
10303,35,134,80,55,136,153,53,121,16,786,48,102,54,38,102,115,25,94,169,743,1209,2866,2433,1482,3543,3862,1260,3156,441,20246
10304,43,148,138,79,224,226,85,195,16,1152,30,110,81,42,166,171,45,126,187,961,1238,3902,3200,2014,5861,5554,2040,4809,452,29064
10401,26,114,102,69,163,158,32,86,10,766,57,113,72,35,131,113,23,78,204,828,978,3185,2620,1868,3997,3278,914,2338,435,19616
10402,48,236,190,145,371,304,80,150,15,1545,78,260,148,96,285,251,35,138,308,1609,1857,6819,5584,3883,8037,6614,1969,4067,752,39577
10501,11,17,20,16,34,50,18,50,6,219,23,47,26,9,45,38,15,45,95,348,363,861,719,574,1276,1525,537,2420,255,8536
10502,7,59,27,12,79,56,13,41,0,299,16,30,17,11,33,44,9,35,82,273,433,1052,757,549,1646,1511,413,1457,184,7994
10503,33,150,120,88,283,263,87,178,9,1215,62,158,87,50,237,222,54,171,310,1359,1375,4011,3350,2427,7203,6517,1984,5392,713,32969
10601,116,273,237,140,416,420,128,223,30,1987,112,199,121,100,336,341,85,206,357,1853,3014,6114,4987,3231,8182,8339,2733,6266,849,43723
10602,108,277,207,133,350,381,110,190,24,1787,79,170,130,69,287,331,90,174,253,1592,2506,5888,4746,3181,8898,8308,2703,5268,557,42055
10603,100,208,169,112,268,273,66,115,20,1338,86,160,93,80,234,190,48,136,269,1301,2248,5216,3842,2476,6070,5590,1689,3177,606,30904
10604,20,76,57,23,116,114,44,87,3,536,24,61,34,28,67,85,25,49,139,507,640,1751,1475,892,2582,2749,1067,2660,312,14141
10701,336,177,110,60,264,311,50,118,7,1431,118,149,117,77,246,287,60,102,240,1398,3520,4883,3882,2455,7347,6420,1770,3003,526,33809
10702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4
10703,332,237,157,89,305,288,73,146,27,1643,146,184,141,83,275,256,52,123,276,1543,4543,6811,5142,3306,9001,8491,2461,4270,670,44698
10704,545,350,234,100,365,355,85,179,31,2245,179,266,211,105,349,393,76,197,350,2121,6789,10200,7498,4267,12479,12210,3533,6459,783,64220
10801,21,80,61,52,78,70,15,45,9,425,46,87,52,35,72,68,18,34,133,539,673,2144,1691,1122,2092,1893,548,1149,299,11611
10802,22,103,83,47,155,94,38,66,10,615,48,128,83,40,131,102,21,61,205,812,952,3155,2542,1732,3495,2828,750,1844,480,17776
10803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,11,27,48,30,27,34,45,9,13,9,241
10804,55,249,184,133,322,291,83,141,13,1471,60,181,85,70,203,183,33,102,242,1154,1726,6117,4473,3475,7342,6415,1788,3717,553,35601
10805,33,121,95,56,163,172,44,84,11,786,55,101,86,63,142,109,18,69,214,853,1069,3301,2843,2080,4051,3566,976,2323,546,20749
10901,35,173,130,84,225,269,88,142,11,1159,49,137,107,64,219,233,69,141,205,1227,1348,4546,3791,2696,6290,6127,1969,4010,481,31254
10902,12,32,15,13,24,40,9,37,6,182,12,34,18,7,47,47,16,34,65,292,245,732,580,411,1010,1051,337,1172,141,5673
10903,28,98,69,44,104,139,53,94,7,632,48,93,69,50,117,141,34,68,156,778,973,2766,2082,1469,3160,3519,1070,3189,393,18620
11001,18,92,77,38,116,99,32,44,7,520,33,76,50,21,64,76,27,64,100,512,775,2611,1955,1313,3652,2731,976,2335,289,16638
11002,22,76,69,49,114,108,40,77,5,570,39,89,52,39,107,103,17,70,172,686,590,2141,1727,1262,2697,2545,788,2654,405,14814
11003,13,47,40,28,108,100,25,85,6,454,26,53,38,29,77,69,21,88,99,500,397,1145,994,749,1922,1952,692,2588,281,10726
11004,52,197,165,105,402,322,88,209,7,1558,68,143,93,79,261,234,63,183,302,1429,1633,4806,3944,2883,7804,7474,2361,6367,694,37966
11101,164,430,292,163,497,419,131,194,21,2307,93,223,171,122,344,432,98,176,293,1955,3530,9021,7476,5030,11980,11941,3350,5890,672,58889
11102,142,268,193,130,355,366,93,141,14,1699,99,151,127,87,286,272,65,145,255,1486,2509,5448,4488,3101,7997,7376,2095,3813,575,37394
11103,179,516,427,262,608,551,142,297,12,2986,138,391,252,169,569,578,130,240,499,2967,5269,14256,11114,7536,18543,17898,5093,9243,1090,90050
11201,78,293,196,134,242,260,44,125,16,1397,78,337,255,145,274,294,48,154,335,1920,2154,7921,5948,4139,6648,6483,1610,3886,784,39582
11202,46,170,143,113,298,241,51,123,15,1199,79,169,120,105,249,220,43,122,229,1339,1447,4562,4285,3279,6380,5191,1436,3394,628,30613
11203,131,281,216,143,295,252,73,155,28,1572,128,327,198,108,286,275,50,160,355,1891,2466,7272,5786,3994,7347,6778,1841,4367,828,40678
11301,20,122,103,48,170,183,54,136,8,860,41,107,80,69,272,208,57,111,232,1186,781,2871,2417,1686,5393,4892,1556,3657,525,23780
11302,9,26,17,14,34,40,11,37,0,194,23,35,11,10,44,54,17,44,70,308,311,883,735,524,1227,1200,374,1177,147,6570
11303,54,215,222,148,395,448,113,229,23,1852,69,170,153,106,320,324,67,194,372,1777,1878,6202,5019,3458,10031,9215,2959,6710,894,46366
11401,100,282,225,114,342,292,68,156,25,1610,107,227,115,101,267,261,65,114,346,1609,2507,7477,5590,3569,8255,7630,2060,4300,811,42205
11402,61,181,109,83,142,192,59,107,9,944,61,152,90,53,134,174,45,135,149,997,1383,4071,3025,1864,3964,4559,1413,3248,417,23949
11501,421,414,214,114,375,383,95,206,9,2224,211,372,245,153,600,760,145,303,410,3198,6469,10300,7306,4162,15178,18737,4068,8625,877,75717
